Account_ID,Customer_ID,Account_Type,Balance,Account_Status,Branch_ID
500000001,1001,Savings,675139,Inactive,102
500000002,1001,Savings,348565,Active,103
500000003,1002,Current,483530,Active,103
500000004,1002,Salary,687689,Inactive,105
500000005,1003,Salary,68007,Inactive,101
500000006,1004,Salary,359322,Inactive,102
500000007,1004,Salary,190957,Inactive,103
500000008,1005,Salary,368352,Inactive,101
500000009,1005,Current,902494,Active,103
500000010,1006,Current,677380,Inactive,101
500000011,1007,Savings,448047,Inactive,101
500000012,1008,Savings,845658,Inactive,103
500000013,1009,Savings,192317,Inactive,104
500000014,1009,Savings,88734,Inactive,104
500000015,1010,Savings,177832,Active,104
500000016,1010,Current,395074,Active,103
500000017,1011,Savings,918607,Inactive,101
500000018,1012,Salary,659828,Inactive,103
500000019,1012,Salary,910401,Active,105
500000020,1013,Current,672336,Inactive,101
500000021,1014,Salary,80544,Active,103
500000022,1014,Salary,795377,Active,102
500000023,1015,Savings,325316,Active,103
500000024,1016,Current,146439,Inactive,105
500000025,1017,Salary,964384,Inactive,105
500000026,1018,Salary,200744,Inactive,105
500000027,1019,Savings,527600,Active,102
500000028,1019,Current,980126,Active,103
500000029,1020,Savings,507083,Inactive,105
500000030,1021,Current,177229,Inactive,101
500000031,1021,Current,844979,Inactive,105
500000032,1022,Salary,461845,Active,103
500000033,1022,Savings,516858,Active,102
500000034,1023,Salary,57991,Inactive,102
500000035,1024,Current,105165,Inactive,104
500000036,1024,Current,304815,Inactive,103
500000037,1025,Current,80255,Inactive,104
500000038,1026,Current,129519,Inactive,104
500000039,1026,Current,139356,Active,105
500000040,1027,Salary,151308,Active,101
500000041,1027,Salary,194426,Inactive,103
500000042,1028,Salary,745527,Inactive,101
500000043,1028,Salary,521933,Active,104
500000044,1029,Savings,20979,Inactive,101
500000045,1029,Savings,157795,Inactive,101
500000046,1030,Savings,868499,Inactive,103
500000047,1030,Savings,605311,Inactive,102
500000048,1031,Current,909540,Active,101
500000049,1032,Salary,889346,Active,104
500000050,1033,Salary,715868,Inactive,103
500000051,1033,Current,663275,Active,104
500000052,1034,Salary,634783,Inactive,102
500000053,1035,Savings,996904,Inactive,104
500000054,1036,Savings,791052,Inactive,105
500000055,1036,Salary,718093,Inactive,105
500000056,1037,Salary,605234,Inactive,103
500000057,1037,Savings,262071,Active,102
