Customer_ID,First_Name,Last_Name,Gender,Annual_Income,Risk_Score,KYC_Status
1001,Ekaraj,Mital,Male,1246441,33,Complete
1002,Aditya,Borra,Male,2164106,68,Pending
1003,Jyoti,Madan,Male,1369008,62,Complete
1004,Peter,Tailor,Male,1298356,56,Expired
1005,Vedika,Vora,Female,2417942,89,Expired
1006,Raagini,Gulati,Female,418692,45,Complete
1007,Chandran,Ghosh,Female,1497693,19,Complete
1008,Chanchal,Pau,Male,2208668,43,Complete
1009,Dalaja,Sankaran,Male,2460899,22,Complete
1010,Nidhi,Bahri,Female,1709323,32,Pending
1011,Anmol,Bhargava,Male,547090,47,Pending
1012,Kevin,Bobal,Female,2016192,72,Expired
1013,Ekansh,Mand,Female,2373870,90,Pending
1014,Lohit,Dass,Male,2153164,51,Complete
1015,Madhavi,Sama,Female,1712970,42,Complete
1016,Atharv,Ben,Male,2442432,78,Pending
1017,Thomas,Joshi,Male,925984,86,Pending
1018,Yochana,Hegde,Male,1807275,1,Pending
1019,Logan,Sood,Male,1600117,18,Pending
1020,Lajita,Panchal,Female,1463342,74,Expired
1021,Sara,Walla,Female,549532,53,Complete
1022,Ekansh,Saxena,Male,2189232,6,Pending
1023,Ekapad,Aggarwal,Female,1694781,3,Pending
1024,Rachana,Kapur,Female,1622820,22,Complete
1025,Vincent,Parmar,Male,319900,69,Complete
1026,Wishi,Pillay,Male,2170888,8,Pending
1027,Mohini,Devi,Male,1466395,95,Complete
1028,Nidhi,Bhatia,Male,1398600,40,Expired
1029,Tanmayi,Mahal,Male,901072,94,Expired
1030,Luke,Ghosh,Male,1665384,50,Pending
1031,Panini,Srivastava,Female,2285673,31,Expired
1032,Teerth,Kanda,Male,785434,2,Expired
1033,Qasim,Dara,Male,2233204,31,Complete
1034,Yashasvi,Luthra,Female,2446529,92,Pending
1035,Mason,Tiwari,Female,697003,50,Pending
1036,Kalpit,Ganesh,Female,1487558,3,Expired
1037,Ekani,Nagi,Female,1149213,93,Expired
1038,Elijah,Ravi,Female,309675,45,Expired
1039,Urvashi,Samra,Female,2235853,24,Complete
1040,Megha,Dugar,Male,694213,19,Pending
1041,Zaitra,Thaker,Female,1033232,62,Expired
1042,Vasudha,Kant,Male,1426538,29,Expired
1043,Ati,Balakrishnan,Male,1671971,62,Pending
1044,Onveer,Kara,Male,1552730,35,Pending
1045,Nimrat,Majumdar,Male,1275527,38,Complete
1046,Yashvi,Wadhwa,Female,1281095,1,Expired
1047,Kabir,Kade,Male,1122896,13,Pending
1048,Karan,Bava,Female,2159651,44,Pending
1049,Yash,Arora,Female,1222237,39,Expired
1050,Shaurya,Bala,Female,1969212,38,Expired
1051,Deepa,Konda,Female,2461562,65,Expired
1052,Libni,Garg,Female,1688937,28,Pending
1053,Jagat,Ramakrishnan,Male,2270905,56,Complete
1054,Frederick,De,Male,1246537,37,Expired
1055,Yamini,Kalita,Female,2101415,64,Pending
1056,Aradhana,Hegde,Male,2274466,10,Pending
1057,Vasudha,Konda,Male,1458083,36,Complete
1058,Xiti,Barad,Male,1191229,67,Complete
1059,Jai,Chaudhary,Female,1675596,16,Pending
1060,Waida,Sahni,Female,756593,99,Pending
1061,Hema,Shan,Female,2322175,31,Pending
1062,Gabriel,Ram,Female,725591,83,Expired
1063,Nimrat,Sahota,Male,1606588,43,Expired
1064,Hritik,Ganesh,Female,432326,78,Expired
1065,Ayush,Bal,Male,373418,72,Expired
1066,Omya,Kade,Female,2208767,57,Expired
1067,Gautam,Ahluwalia,Female,592372,14,Pending
1068,Netra,Bora,Female,2116736,23,Complete
1069,Omkaar,Ganguly,Male,896245,2,Expired
1070,Aarini,Din,Female,618691,94,Complete
1071,Vasana,Ray,Female,2339096,51,Pending
1072,Dayita,Nagarajan,Female,1862762,2,Expired
1073,Balvan,Bhatti,Female,1148860,41,Expired
1074,Amara,Ratta,Female,1661074,66,Expired
1075,Tanmayi,Mital,Male,1938463,87,Expired
1076,Tamanna,Gala,Female,748231,55,Expired
1077,Nakul,Chandran,Female,889182,9,Expired
1078,Shivansh,Buch,Male,1867266,84,Expired
1079,Nandini,Prabhu,Male,1677225,54,Complete
1080,Adweta,Nagi,Female,2466954,81,Expired
1081,Lajita,Basak,Male,1237833,26,Complete
1082,Nathan,Ravel,Female,833508,74,Pending
1083,Pahal,Gara,Male,461327,40,Complete
1084,Hemang,Contractor,Female,2457964,13,Pending
1085,Eta,Dugal,Female,1273915,55,Expired
1086,Harinakshi,Natt,Male,2481014,77,Expired
1087,Simon,Devan,Male,2098851,12,Expired
1088,Aadhya,Varty,Female,1046117,74,Complete
1089,Nitara,Patil,Male,893638,29,Expired
1090,Vedhika,Shah,Male,378699,16,Complete
1091,Radha,Yohannan,Female,382801,52,Complete
1092,Balvan,Bose,Female,1386137,30,Expired
1093,Robert,Gara,Female,2348767,93,Complete
1094,Rachita,Wason,Male,501932,6,Expired
1095,Falak,Sabharwal,Male,497487,95,Expired
1096,Qasim,Gour,Female,1086230,62,Complete
1097,Naveen,Roy,Male,853509,56,Expired
1098,Matthew,Tata,Male,1973286,49,Pending
1099,Jagat,Babu,Male,646935,6,Pending
1100,Sneha,Sundaram,Female,1685460,30,Pending
